F2_FOLLOWER,F2_FOLLOWED
107,128
107,130
107,131
228,232
228,233
228,88
135,1043
28,2149
28,643
28,46
28,2153
28,88
28,677
28,2169
28,2171
28,2173
28,2175
28,2177
28,2180
28,2182
28,2183
359,2662
359,205
359,368
359,369
359,1762
359,422
359,762
359,52
359,456
359,2684
359,88
359,502
359,322
359,2696
359,71
359,2417
2804,370
2804,400
2804,2813
2804,2817
2804,2836
1917,3417
1917,3419
1917,3420
4069,4072
4069,402
4069,52
4069,88
4069,4089
4069,322
4069,531
4069,4100
4069,4108
4618,4619
4618,168
4619,4618
4619,1579
4619,369
4619,5071
4619,5082
4619,46
4619,5086
4619,5087
4619,431
4619,1267
4619,4665
4619,5104
4619,5114
4619,3972
4619,5116
4619,5122
4619,5123
4619,2940
4619,502
4619,505
4619,5137
4619,5143
4619,5149
4619,2173
4619,5155
4619,5157
4619,5163
3262,4407
3262,5265
3262,88
3262,5276
3262,492
3262,502
3262,3604
3262,5281
3262,5284
3262,2417
3262,5291
3262,168
621,994
621,5695
621,1447
621,5704
621,104
621,5717
621,2153
621,608
621,5742
621,5753
621,5771
621,5782
6130,6509
6130,1276
6130,6516
6130,6520
7257,4
7257,7259
7257,7271
5799,368
5799,5315
5799,1240
5799,7298
5799,6992
5799,422
5799,7305
5799,7307
5799,7309
5799,7316
5799,7319
5799,677
5799,7320
5799,1400
5799,5859
5799,7330
5799,7337
5799,1572
5799,7350
5799,7360
5799,7363
5799,5894
7440,135
7440,1256
7440,7445
7440,1276
7440,7453
7440,1405
7440,7457
7440,1999
7440,7459
7440,7462
8270,3115
8270,378
8270,1262
8270,1113
8270,4922
8270,88
8270,319
8270,8278
8591,8592
8591,8594
8591,205
8591,8755
8591,8760
8591,2444
8591,8794
8591,8811
8591,8832
8591,8840
8591,502
8591,8846
8591,8855
8591,8864
8591,8872
8591,2696
8591,8897
8591,8903
8591,8910
8591,8915
8591,8950
8591,2417
8591,8960
8591,8965
8591,8966
8591,8989
8591,8992
8591,8740
8591,9011
8591,9016
8591,9021
8591,9025
8591,9036
2149,28
2149,378
2149,9091
2149,9304
2149,9305
2149,9310
2149,9311
2149,9312
2149,3575
2149,2153
2149,7473
2149,88
2149,9318
2149,677
2149,3604
2149,9324
2149,2177
5932,4
5932,994
5932,3002
5932,369
5932,389
5932,402
5932,9439
5932,9445
5932,9453
5932,3104
5932,9464
5932,9466
5932,5445
5932,9476
5932,3013
5932,9210
5932,9494
4,359
4,994
4,997
4,2662
4,1003
4,368
4,3002
4,369
4,640
4,2303
4,378
4,9630
4,1027
4,1028
4,1455
4,4482
4,148
4,1051
4,402
4,1077
4,1357
4,1945
4,1115
4,1118
4,1379
4,1486
4,1142
4,3355
4,88
4,9666
4,308
4,1170
4,9672
4,1551
4,492
4,677
4,9681
4,5899
4,322
10754,10755
10754,4918
10754,1240
10754,88
7882,640
7882,148
7882,88
7882,10781
8592,88
8592,10814
8592,10816
8592,10817
8592,8992
8592,9036
1309,4
1309,718
1309,1003
1309,1447
1309,1028
1309,148
1309,400
1309,939
1309,1267
1309,11619
1309,11622
1309,322
6882,637
6882,3491
6882,370
6882,1447
6882,657
6882,4317
6882,8140
6882,11264
6882,11656
6882,670
6882,11660
6882,6899
6882,2753
6882,11668
6882,11671
6882,3606
6882,11677
6882,544
6882,11679
6882,3013
6882,4377
6882,11692
6882,4381
6882,11694
1597,7847
1597,7982
1597,640
1597,4700
1597,1945
1597,1267
1597,608
1597,1147
1597,88
1597,4463
1597,677
12554,7690
12554,11597
12580,3369
12619,4
12619,205
12619,389
12619,402
12619,431
12619,52
12619,456
12619,2684
12619,7634
12619,7404
12619,502
12619,12631
12619,832
12619,71
12619,1999
12619,2417
1230,4
1230,898
1230,148
1230,4452
1579,4619
1579,4
1579,994
1579,13315
1579,13320
1579,6104
1579,1267
1579,308
1579,13337
1579,13338
1579,3419
1579,677
1579,13348
1579,13354
1579,13364
1579,13371
1825,4
1825,1276
13500,205
13500,1276
13500,5009
13500,88
13500,13502
13500,5193
13500,832
13500,13505
13500,2696
13500,13506
13500,13508
13500,13509
13500,13510
13500,13511
13500,13512
13500,13516
13500,2417
12517,4
12517,1230
12517,1920
12517,640
12517,10627
12517,148
12517,13539
12517,400
12517,1262
12517,2153
12517,88
12517,677
12517,322
12517,13552
13606,4
13606,994
13606,1447
13606,13609
13606,13611
13606,5383
13606,13625
13606,13627
13606,12806
13716,4
13716,10754
13716,1309
13716,10755
13716,4697
13716,3491
13716,13720
13716,4407
13716,4866
13716,13721
13716,13722
13716,12052
13716,6241
13716,1357
13716,1256
13716,13732
13716,1267
13716,439
13716,3343
13716,13735
13716,11036
13716,1276
13716,88
13716,11482
13716,468
13716,3972
13716,13754
13716,13756
13716,4475
13716,13764
13716,492
13716,13765
13716,13766
13716,677
13716,13769
13716,502
13716,11876
13716,13773
13716,6625
13716,13778
13716,7690
13716,3604
13716,13109
13716,13784
13716,7420
13716,13790
13716,10458
13716,10853
13716,13798
13716,13807
13716,5550
13716,12751
13716,13808
13716,2417
13716,3998
13716,13811
13716,13815
13716,13816
13716,13820
13716,13822
13716,2746
13716,894
13936,13937
13936,3783
14368,4
14368,14375
1920,2662
1920,12045
1920,378
1920,5948
1920,1454
1920,400
1920,402
1920,14861
1920,88
1920,308
1920,322
1920,2417
1920,5795
14966,88
718,4
718,1309
718,1597
718,1230
718,994
718,7847
718,3115
718,1003
718,1240
718,13561
718,9304
718,13654
718,13539
718,15669
718,400
718,46
718,3094
718,4700
718,3125
718,1256
718,8009
718,1711
718,422
718,15687
718,15688
718,15691
718,15692
718,1262
718,1103
718,15694
718,12985
718,13567
718,439
718,3343
718,666
718,608
718,670
718,15717
718,1147
718,15722
718,15724
718,5114
718,15740
718,15741
718,8292
718,5014
718,1912
718,15752
718,5851
718,15766
718,511
718,4177
718,11671
718,15783
718,3606
718,15794
718,15795
718,531
718,540
718,15799
718,15801
718,10458
718,9964
718,556
718,15814
718,8004
718,15845
718,4187
718,15871
718,5500
718,15885
718,15898
994,359
994,5932
994,4
994,1309
994,718
994,1003
994,3562
994,1447
994,640
994,378
994,1043
994,2445
994,15951
994,431
994,1115
994,2325
994,1484
994,4475
994,677
994,9551
994,6835
994,15975
994,15976
994,71
994,6039
16363,4
16363,205
16363,3419
16363,677
16371,643
16371,16374
16371,3125
16371,16379
16371,16405
16371,16406
16514,14543
16514,8702
16514,6940
16514,4884
16514,16525
16514,8711
16514,14064
16514,7551
16514,16527
16514,14570
16514,2940
16514,16528
16514,14075
16514,16530
16514,14604
16514,16533
16514,16536
16514,14615
16514,16547
16514,16549
7847,1597
7847,718
7847,4700
16612,16614
16721,16722
16721,16723
16721,3606
16721,16729
8217,621
8217,11744
8217,1276
8217,88
8217,4463
8217,4475
8217,13778
8217,16869
8217,16878
997,4
997,369
997,370
997,640
997,1454
997,1043
997,148
997,402
997,49
997,431
997,762
997,52
997,11978
997,1113
997,4665
997,3343
997,456
997,461
997,88
997,5989
997,502
997,12126
997,8393
997,12183
997,6038
997,556
997,14525
997,2351
19143,8711
19143,7551
19143,14577
19143,19147
19143,14611
19143,14615
19143,19159
16901,4
16901,369
16901,2426
16901,378
16901,1051
16901,400
16901,9417
16901,402
16901,7533
16901,431
16901,1267
16901,10561
16901,1276
16901,462
16901,88
16901,1170
16901,15489
16901,7404
16901,9464
16901,322
16901,19431
16901,580
19827,4
19827,1003
8594,8591
8594,19911
8594,19919
8594,19920
8594,1267
8594,8811
8594,88
8594,19944
8594,906
8594,8832
8594,8840
8594,8855
8594,19955
8594,16816
8594,5550
8594,19992
20356,20358
20356,2417
8126,369
8126,5704
8126,13654
8126,400
8126,402
8126,7942
8126,46
8126,11744
8126,13383
8126,3343
8126,2153
8126,608
8126,11036
8126,88
8126,17640
8126,20366
8126,14166
8126,20367
8126,20368
8126,4348
8126,677
8126,6078
8126,20378
8126,6080
8126,19226
8126,6081
8126,18798
8126,6625
8126,511
8126,6909
8126,11050
8126,832
8126,20385
8126,8393
8126,556
8126,13133
8126,13808
8126,4377
8126,16091
8126,17182
8126,20398
8126,3228
12038,4
12038,718
12038,36
12038,3491
12038,20457
12038,1267
12038,1958
12038,1276
12038,20463
12038,88
12038,308
12038,19527
12038,3419
12038,677
12038,5851
12038,510
12038,832
10755,10754
10755,13716
10755,718
10755,4697
10755,13720
10755,3533
10755,1240
10755,12052
10755,21234
10755,1267
10755,1115
10755,13735
10755,88
10755,16770
10755,21255
10755,885
10755,5859
10755,21140
10755,21265
10755,21267
10755,17573
10755,9704
10755,21290
22078,2247
22078,88
22078,22084
22343,88
22343,22345
22343,11444
22446,2426
22446,1694
22446,22450
22446,22451
22446,22455
22446,308
22446,13756
22446,22458
22446,18309
22446,22463
22446,15359
22446,885
22446,5137
22446,22470
22446,22472
22446,5795
22446,22473
2662,205
2662,2153
2662,2753
2662,22990
23221,23227
2294,4
2294,1920
2294,1262
2294,438
2294,1379
2294,873
2294,1170
2294,3369
2294,14111
23610,4
23610,722
23610,640
23610,10945
23610,10950
23610,23616
23610,3584
23610,23619
23610,783
23610,88
23610,677
23610,23634
23610,23635
23610,510
23610,3697
23610,15414
23610,23642
23610,3919
23610,23665
22346,4
22346,205
22346,369
22346,2080
22346,2417
22346,23749
22346,12281
22346,23769
12201,4
12201,12295
12201,205
12201,7377
12201,12296
12201,643
12201,21989
12201,2247
12201,88
12201,23809
12201,23812
23913,88
23913,677
11025,5704
11025,13654
11025,11029
11025,400
11025,17915
11025,608
11025,11036
11025,13074
11025,10837
11025,3419
11025,677
11025,6078
11025,23399
11025,6080
11025,23197
11025,23950
11025,3603
11025,13109
11025,8391
11025,23953
11025,15801
11025,23956
11025,11388
11025,23958
11025,9964
11025,13123
11025,23960
11025,13131
11025,13133
11025,13134
11025,2175
11025,12751
11025,4377
11025,18506
11025,15210
11025,23970
11025,2177
11025,23973
11025,4187
11025,23975
11025,23976
11025,23979
11025,23980
4072,4069
4072,4
4072,9366
4072,18278
4072,24502
4072,18906
4072,88
4072,308
4072,24513
4072,24517
4072,531
4072,9380
4072,4100
4072,11677
4072,4798
4072,24531
4072,24410
4072,9384
4072,9385
4072,4804
4072,24548
4072,24549
4072,4813
4072,18521
24759,1262
25024,308
25024,510
17748,21565
17748,88
17748,4137
17748,25080
17748,23713
25205,359
25205,4
25205,994
25205,11025
25205,723
25205,18270
25205,368
25205,369
25205,378
25205,232
25205,14982
25205,5704
25205,400
25205,1357
25205,15596
25205,608
25205,783
25205,670
25205,6551
25205,5393
25205,25221
25205,18142
25205,3419
25205,25241
12295,2696
12295,16812
12295,2080
12295,25436
12295,24082
12295,12281
5310,7690
5310,4137
3115,17748
3115,6184
3115,2298
3115,6193
3115,1240
3115,5524
3115,10627
3115,148
3115,2948
3115,2642
3115,1262
3115,431
3115,25454
3115,2958
3115,16140
3115,15717
3115,20463
3115,88
3115,25562
3115,11619
3115,5851
3115,11622
3115,22181
3115,7185
3115,1751
3115,167
3115,25599
3115,25600
3115,25605
3115,25607
25628,7533
25628,25631
25988,15013
25988,1267
25988,16429
26050,26054
10392,4
10392,994
10392,2662
10392,370
10392,400
10392,6236
10392,11981
10392,439
10392,26122
10392,13383
10392,3343
10392,2153
10392,608
10392,11036
10392,670
10392,1276
10392,462
10392,88
10392,5226
10392,14166
10392,20367
10392,3361
10392,5011
10392,19797
10392,26128
10392,3419
10392,677
10392,2753
10392,511
10392,13778
10392,6017
10392,17680
10392,26140
10392,26141
10392,8391
10392,832
10392,22683
10392,20385
10392,7420
10392,2143
10392,11677
10392,2567
10392,19604
10392,23956
10392,10458
10392,71
10392,11388
10392,553
10392,9964
10392,13798
10392,26153
10392,4372
10392,13134
10392,12022
10392,26158
10392,12751
10392,13808
10392,4378
10392,2417
10392,13811
10392,15210
10392,22990
10392,2177
10392,10475
10392,15518
10392,17185
10392,17188
10392,14525
10392,18223
10392,26174
10392,26175
10392,26177
10392,3228
4697,10755
4697,12052
4697,21140
26228,718
697,400
697,5086
697,505
697,7457
697,26234
26238,17332
26238,23118
26238,5011
26238,3419
26238,6019
26238,322
26238,550
26238,71
26238,2417
26238,26251
26238,26253
26238,26256
22187,2662
22187,88
22187,26370
22187,13994
26388,2696
26388,1999
26388,26289
26388,26396
36,14123
36,2308
36,1945
36,3343
36,1276
36,26397
36,502
36,511
36,17680
36,5137
36,26398
36,7501
1003,4
1003,994
1003,19827
1003,3430
1003,14742
1003,1115
1003,26404
11530,4
11530,7377
11530,9731
11530,11981
11530,6800
11530,1276
11530,88
11530,5226
11530,16801
11530,15489
11530,23866
11530,26078
11530,19604
11530,27040
11530,27045
11530,26153
11530,27046
11530,22084
11530,27048
11530,27050
11530,13811
11530,11852
11530,12462
11530,22444
11530,16824
11530,27071
11530,27079
11530,27081
11530,12281
11530,27087
27176,4
7982,1597
7982,8126
7982,1830
7982,640
7982,400
7982,18076
7982,7942
7982,11264
7982,27245
7982,670
7982,88
7982,27246
7982,27247
7982,677
7982,17111
7982,6081
7982,510
7982,27249
7982,6909
7982,27252
7982,556
722,23610
722,23120
722,308
722,27349
6184,3115
6184,6193
6184,1262
6184,456
6184,25168
6184,27474
6184,27475
6184,27479
637,6882
637,14982
637,677
637,4381
27695,677
2422,4
2422,723
2422,5339
723,4
723,994
723,25205
723,2422
723,4718
723,640
723,1103
723,769
723,19862
723,3419
723,10530
28446,4
28446,994
28446,640
28446,402
28446,46
28446,1357
28446,762
28446,1267
28446,28458
28446,7550
28446,1276
28446,28462
28446,88
28446,6949
28446,20367
28446,5011
28446,19048
28446,28476
28446,28479
28446,531
28446,28492
28446,26153
28446,2417
28446,28529
28446,28539
28541,12201
28541,423
28541,3437
28541,28545
28541,14913
28541,28548
28541,5116
28541,14945
28608,88
28608,677
205,2662
205,2153
205,22990
7377,4
7377,12201
7377,11530
7377,368
7377,19911
7377,27678
7377,2426
7377,6210
7377,7468
7377,28757
7377,643
7377,13721
7377,402
7377,9514
7377,422
7377,3343
7377,14913
7377,456
7377,28769
7377,28770
7377,1276
7377,16429
7377,9453
7377,15724
7377,88
7377,28776
7377,9672
7377,16766
7377,23318
7377,28390
7377,502
7377,6017
7377,322
7377,28794
7377,7721
7377,16649
7377,4367
7377,3013
7377,27050
7377,28799
7377,28801
7377,28802
7377,28806
7377,28808
7377,2746
7377,12505
7377,28820
4718,359
4718,4
4718,994
4718,5310
4718,723
4718,205
4718,369
4718,640
4718,4236
4718,389
4718,5704
4718,6218
4718,7114
4718,1056
4718,4310
4718,12824
4718,46
4718,3783
4718,22359
4718,1103
4718,52
4718,24418
4718,608
4718,5189
4718,11587
4718,461
4718,11329
4718,469
4718,19862
4718,28951
4718,308
4718,4514
4718,5989
4718,11336
4718,11337
4718,28957
4718,28958
4718,2817
4718,28962
4718,23318
4718,28964
4718,28965
4718,492
4718,7283
4718,4528
4718,12894
4718,6081
4718,510
4718,511
4718,28977
4718,7690
4718,3603
4718,322
4718,24629
4718,28991
4718,16772
4718,28993
4718,556
4718,19178
4718,29006
4718,29010
4718,29012
4718,2417
4718,10126
4718,3416
4718,4809
4718,29021
4718,9107
18270,4
18270,2662
18270,18937
18270,2308
18270,2444
18270,308
18270,322
18270,15976
29698,88
29698,677
29698,531
368,359
368,4
368,369
368,8322
368,46
368,431
368,11167
368,3355
368,461
368,19862
368,308
368,71
26938,14913
26938,28548
26938,5116
26938,5989
26938,30311
26938,25907
26938,5137
26938,22408
26938,14945
26938,26289
26938,5155
26938,15214
26938,5795
1830,7982
1830,1267
1830,17961
30439,4
30439,1920
30439,994
30439,308
30439,13115
29783,5071
29783,30454
18937,205
30915,4
30915,88
30915,9464
30915,2746
30915,894
27696,205
27696,31201
27696,7533
27696,7551
27696,28462
27696,31209
27696,14577
27696,31214
27696,71
27696,31224
27696,31231
27696,18223
27696,19159
31239,26762
31239,15148
31239,1945
31239,308
31239,510
31239,885
31239,531
31239,4137
31239,7969
31538,4
31538,7533
31538,7551
31538,31560
31538,31564
31538,2696
31538,31589
31538,2836
31538,31607
31538,31610
31696,31698
31696,8755
31696,28067
31696,31705
31696,31709
31696,31711
31696,7533
31696,31713
31696,7551
31696,31732
31696,28128
31696,25402
31696,31739
31696,31740
31696,28476
31696,31779
31696,14075
31696,31329
31696,31797
31696,31814
31696,31829
31696,31833
31696,31840
31696,31850
31696,31857
30660,4
30660,19911
30660,8755
30660,28476
30660,6963
30660,31305
30660,18223
3002,640
3002,28757
3002,643
3002,4310
3002,23845
3002,27791
3002,20367
3002,31926
3002,3361
3002,31927
3002,4367
3002,2173
3002,3228
3002,31934
32051,1115
32051,1118
32051,26375
32051,322
32051,32060
2944,718
2944,2298
2944,10627
2944,5265
2944,6072
2944,1262
2944,15717
2944,7404
2944,26757
2944,30374
32081,4
32081,3115
32081,88
32081,308
32081,3972
32081,30477
32081,2417
14825,2662
14825,205
14825,369
14825,370
14825,389
14825,2369
14825,11176
14825,461
14825,88
14825,5226
14825,14166
14825,11336
14825,5011
14825,11339
14825,32108
14825,32119
14825,71
14825,2169
14825,13798
14825,2417
14825,10126
14825,24227
14825,10179
14825,9107
4918,1267
4918,88
32495,621
32495,1447
32495,1455
32495,2417
32495,167
6717,1276
6717,88
6717,3419
6717,677
6717,2753
6717,19604
12296,7377
12296,4872
12296,32706
12296,27071
12296,12503
12296,32723
12296,32727
3491,3339
3491,761
3491,1958
3491,7969
3491,32770
2298,718
2298,3115
2298,36
2298,2944
2298,2301
2298,32772
2298,10627
2298,1694
2298,4582
2298,400
2298,32775
2298,1262
2298,32776
2298,5114
2298,16431
2298,25742
2298,32780
2298,14392
1238,718
1238,4918
1238,1240
1238,10627
1238,13539
1238,32870
1238,2642
1238,1256
1238,1262
1238,2480
1238,6504
1238,1400
1238,23489
1238,15799
1238,23407
1238,32883
1238,22181
32957,6241
32957,32958
32957,88
32957,308
32957,7404
32957,492
32957,13790
32957,5284
32967,6940
32967,7551
32967,16527
32967,14075
32967,14615
32967,32972
33051,33057
33051,33061
33051,19837
33051,29417
33051,33068
33051,33070
33051,33087
33051,33097
33051,20716
33051,20717
33051,33113
33051,11516
33051,33121
33051,33122
33051,33127
33051,33136
33051,33140
33051,33142
33051,33145
14233,14234
14233,88
14233,33335
33512,33513
33512,33514
12042,1597
12042,7903
12042,400
12042,33520
12042,7856
12042,25661
12042,4346
12042,33537
12042,3419
12042,677
12042,33540
12042,24959
12042,33548
12042,10910
12042,33551
33642,33645
33642,14064
33642,14075
33642,33648
33642,22643
3430,4
3430,1309
3430,994
3430,1003
3430,370
3430,378
3430,1028
3430,18395
3430,13653
3430,3094
3430,1357
3430,11036
3430,33776
3430,23159
3430,88
3430,5011
3430,4475
3430,5016
3430,3419
3430,33784
3430,3604
3430,322
3430,2696
3430,71
3430,33794
3430,9972
3430,1805
3430,3289
3430,33799
3430,33800
3430,1572
3430,2417
3430,28806
3430,33814
3430,33825
3430,33828
3430,33829
3430,12806
369,359
369,3262
369,4
369,205
369,368
369,3533
369,378
369,1056
369,6236
369,402
369,1762
369,411
369,49
369,422
369,18585
369,431
369,762
369,52
369,24418
369,2477
369,456
369,6360
369,2684
369,461
369,1492
369,88
369,3360
369,479
369,5016
369,492
369,677
369,3450
369,19604
369,550
369,33942
369,7288
369,33946
369,19738
369,3300
369,894
33962,4
16333,8755
16333,34192
16333,27730
16333,34202
16333,19535
16333,7551
16333,34218
16333,19563
16333,16530
16333,34227
16333,14609
16333,14621
16333,34236
16333,34248
16333,16361
34300,6940
34300,14064
34300,7551
34300,30218
34300,16527
34300,14075
34300,34308
34300,30225
34300,34248
13720,10755
13720,34523
13720,13735
13720,34531
13720,34537
5695,621
5695,4
5695,23252
5695,5184
5695,2477
31698,31696
31698,34903
31698,7533
31698,31713
31698,34905
31698,34912
31698,34919
31698,34923
31698,14577
31698,510
31698,34926
31698,34934
31698,34938
31698,34949
31698,34950
31698,20972
31698,34960
31698,34964
31698,34973
31698,34989
31698,21006
31698,34992
31698,34993
31698,34995
31698,14615
31698,34999
31698,35004
31698,16358
31698,35015
31698,35023
31698,35043
31698,35050
35077,4
35077,370
35077,1528
35077,13611
35077,5383
35077,3360
35077,35086
35077,35090
35077,2417
35077,16210
28102,2948
28102,7533
28102,28115
28102,35265
28102,7551
28102,26043
28102,31732
28102,33694
28102,21719
28102,14577
28102,20947
28102,14075
28102,31797
28102,35288
28102,16358
28102,35300
28102,35304
3117,4
3117,994
3117,205
3117,3120
3117,7727
3117,15951
3117,35626
3117,1103
3117,24806
3117,13566
3117,35628
3117,88
3117,35632
3117,3419
3117,5228
3117,677
3117,5193
3117,2753
3117,35636
3117,2577
3117,3994
3117,35652
2018,35690
3533,16136
3533,14907
3533,35722
3533,35723
3533,35726
3533,3604
3533,35727
3533,2169
3533,3013
3533,35729
3533,15513
3533,2177
3533,35731
32269,2662
32269,35799
32269,88
32269,677
32269,24888
32269,11668
32269,23197
32269,35803
32269,18666
32269,35809
32269,9972
32269,13134
32269,2417
32269,16091
32269,2177
32269,35837
32269,35839
32269,23979
370,2662
370,205
370,400
370,762
370,11176
370,452
370,608
370,670
370,36268
370,8379
370,88
370,3360
370,5011
370,3419
370,12651
370,32427
370,2753
370,36276
370,13482
370,3603
370,322
370,34289
370,8392
370,3240
370,6039
370,19343
370,36289
370,36293
370,2417
370,9604
370,17182
370,9605
370,20398
370,26174
3562,4619
3562,371
3562,7394
3562,9304
3562,2098
3562,4317
3562,761
3562,4514
3562,12250
3562,7801
3562,32746
3562,556
3562,19274
3562,36474
13937,13936
13937,438
13937,10985
13937,7617
13937,36794
13937,20876
13937,36797
6193,359
6193,3262
6193,4
6193,1230
6193,3115
6193,6184
6193,4918
6193,389
6193,36950
6193,46
6193,7298
6193,49
6193,762
6193,2477
6193,1385
6193,308
6193,4129
6193,36956
23414,28375
37406,1357
37406,9731
37406,431
37406,1774
37406,37412
37406,37414
37483,27730
37483,7533
37483,6940
37483,1267
37483,7551
37483,88
37483,16527
37483,20937
37483,14577
37483,14075
37483,31329
37483,37502
37483,37505
37483,14615
37483,16358
37483,30225
37483,31829
37483,37532
37483,34248
37483,16549
6509,6130
6509,2222
6509,3343
6509,88
6509,6516
6509,6590
37852,4
37852,643
37852,2308
37852,88
37852,9672
37852,12183
38240,1267
38240,1892
2301,3115
2301,2298
2301,46
2301,1944
2301,1262
2301,14392
2301,38467
19911,4
19911,8594
19911,1003
19911,7377
19911,30660
19911,402
19911,30671
19911,46
19911,30673
19911,1357
19911,6338
19911,30496
19911,9731
19911,6940
19911,6999
19911,27734
19911,38478
19911,1487
19911,35383
19911,38480
19911,3353
19911,16429
19911,1774
19911,15724
19911,24443
19911,38484
19911,38485
19911,20358
19911,38490
19911,6017
19911,5054
19911,38502
19911,16649
19911,38514
19911,38517
19911,38532
19911,2746
19911,38533
19911,38535
19911,38545
38808,38809
9111,643
9111,389
9111,13721
9111,1471
9111,29254
9111,19615
9111,22555
9111,29855
9111,38908
9111,12806
39410,370
39410,9305
39410,7942
39410,2153
39410,11036
39410,8379
39410,88
39410,3419
39410,677
39410,2753
39410,6080
39410,6081
39410,23197
39410,11050
39410,8391
39410,10910
39410,8392
39410,4364
39410,26370
39410,556
39410,39416
39410,13134
39410,4377
39410,4378
39410,3998
39410,39418
39410,17182
39410,22236
39410,8122
21362,7114
21362,12824
21362,11587
21362,39633
21362,11329
21362,12879
21362,29648
21362,28962
21362,12891
21362,502
21362,28854
21362,39645
21362,28991
21362,32119
21362,25063
21362,11393
21362,14844
21362,39658
21362,39660
21362,39661
21362,29012
21362,2417
21362,12937
21362,39666
21362,10126
21362,39669
21362,10179
21362,25280
21362,9107
17332,2153
17332,18119
17332,5011
17332,2753
17332,39796
17332,2696
17332,2417
898,1230
898,5071
898,738
898,2308
898,1945
898,15328
898,1267
898,2480
898,22451
898,88
898,308
898,677
898,39835
898,20452
898,39843
39866,39867
1447,994
1447,8633
1447,640
1447,1028
1447,400
1447,6236
1447,9810
1447,670
1447,4043
8633,135
8633,2149
8633,4
8633,1230
8633,994
8633,16901
8633,1238
8633,1447
8633,378
8633,2308
8633,6329
8633,24954
8633,31618
8633,24370
8633,16571
8633,40201
27678,4
27678,7377
27678,3533
27678,15013
27678,1028
27678,643
27678,389
27678,1056
27678,402
27678,1357
27678,431
27678,761
27678,666
27678,1379
27678,9453
27678,88
27678,1633
27678,9476
27678,71
27678,2169
27678,4367
27678,3013
27678,40426
27678,3998
27678,29855
27678,40429
27678,9258
371,4
371,1230
371,1003
371,3562
371,640
371,8324
371,389
371,2308
371,21692
371,1051
371,402
371,1357
371,7445
371,456
371,2033
371,478
371,2696
40534,40537
640,1597
640,7982
640,3094
640,88
640,27791
640,31926
640,677
640,3604
640,832
640,3994
640,2173
640,1898
640,40541
640,14813
5315,5799
5315,4
5315,5810
5315,40740
5315,7298
5315,20031
5315,88
5315,7320
5315,27017
5315,5851
5315,40810
5315,40812
5315,37296
5315,40819
5315,40823
5315,40828
5315,17538
5315,40443
5315,40838
22869,6235
22869,2445
22869,1357
22869,6339
22869,9731
22869,1267
22869,40851
22869,7829
22869,26067
22869,40857
22869,40861
15013,25988
15013,3491
15013,27678
15013,13653
15013,1056
15013,3339
15013,16038
15013,41136
15013,30030
15013,2746
41146,41149
41146,7684
41146,41152
41146,4567
27201,4
27201,205
27201,1357
27201,762
27201,1267
27201,1276
27201,23318
27201,71
27201,5782
3952,4
3952,1043
3952,402
3952,1357
3952,8647
3952,762
3952,3962
3952,1267
3952,1115
3952,17241
3952,41336
3952,461
3952,5992
3952,4475
3952,1912
3952,2536
3952,8236
3952,322
3952,41343
3952,71
3952,2417
41360,903
41360,677
41378,3369
41378,16649
41384,7551
41384,88
41384,35248
41384,16358
41384,41392
1240,1597
1240,718
1240,3115
1240,14233
1240,9090
1240,10627
1240,9091
1240,148
1240,26762
1240,400
1240,12052
1240,41398
1240,40740
1240,24502
1240,1256
1240,1711
1240,1262
1240,41399
1240,1113
1240,1487
1240,1723
1240,88
1240,6504
1240,29417
1240,40201
1240,17961
1240,319
1240,23407
1240,12959
1240,912
1240,7969
1240,3392
1240,128
1240,41427
1240,21164
1240,5506
41506,640
41506,40184
41506,2480
41506,41507
41506,3972
41506,5137
41506,3994
41506,41511
14123,36
14123,11444
25683,40228
25683,3186
25683,395
25683,25701
25683,1267
25683,2480
25683,2482
25683,1276
25683,88
25683,468
25683,308
25683,492
25683,3419
25683,677
25683,41527
25683,18309
25683,502
25683,5193
25683,41529
25683,13115
25683,12539
25683,2577
25683,13013
25683,13871
25683,39782
2426,228
2426,135
2426,4
2426,1309
2426,1230
2426,718
2426,994
2426,22446
2426,7377
2426,369
2426,1447
2426,640
2426,378
2426,9630
2426,1051
2426,1461
2426,6235
2426,1357
2426,1609
2426,6339
2426,42137
2426,1103
2426,431
2426,13566
2426,1267
2426,2465
2426,11167
2426,1115
2426,2325
2426,1118
2426,13004
2426,1484
2426,2477
2426,7829
2426,308
2426,1551
2426,5992
2426,7417
2426,40176
2426,21832
2426,42157
2426,42160
3564,9310
3564,25733
3564,38292
3564,2177
42285,1267
25844,88
25844,308
25844,27931
25844,2169
25844,28898
42619,205
42619,1461
42619,14907
