P1_P_PARTKEY,P1_P_NAME,P1_P_MFGR,P1_P_BRAND,P1_P_TYPE,P1_P_SIZE,P1_P_CONTAINER,P1_P_RETAILPRICE,P1_P_COMMENT,nonce
183028449,-1956664903,-13605528,2095449811,-370628176,-717700311,465543798,1409023543,1355663809,101
-691196928,-1863843487,731447992,1218811440,-1463574934,1060564193,844134980,248827048,440403506,102
-809724561,2055125778,1612511312,457692317,1992662420,2041428766,-368231711,-1576847927,-1928758537,103
123158464,-163322235,1895425464,995097877,60463216,-589667787,-1518354413,-1307036111,582801968,104
686602772,796321942,1238597935,1304763050,843125500,-161198481,541322650,-1966721561,1646762521,105
-889529506,753348506,-1930091371,-341828185,-1208636786,-874640839,-1591230663,1981352780,-474861918,106
-1001038023,449043136,1525184382,193832722,-2013167340,-877122177,567072373,1701942529,-1676330494,107
809538166,-1285722139,-347151383,-1003571550,1725455215,-1646503090,-497070110,-1598269732,-856098793,108
653661590,2047985117,-60428722,-2039784481,-744522084,-567931361,2050404372,-1225951438,48514323,109
1023299305,-252826908,-1432887384,-1685861126,-219697079,-955032050,1824569207,1666672202,1341453327,110
-1714655123,-1436569179,1039492522,-1669969866,-1413347086,340540763,-1728233962,-3918968,1463069906,111
632491640,629681697,66027272,1433163192,-812039932,1216232230,-207993076,-77979911,-1939884909,112
-986567035,1752466464,96951725,-2004007859,189628927,-27326494,1610700217,-1511380660,988834535,113
1466966901,1701157190,-2069830080,694635473,266984177,-254591007,885581038,3100158,-1250755700,114
-720408105,-1690666592,760968718,-1241717258,529251840,-1863088408,991378523,-330495720,111798735,115
-548132812,-929998078,-1743803319,-20709372,-1736275980,-700935533,-1671470608,-149212617,-1804055579,116
-552564193,-2135805632,-1546613615,-1424638673,805241831,1321636213,1827625349,1166056260,1134466234,117
-1005168294,1682919818,-1018162985,871128255,-1737021898,1317940604,-175869698,317831637,2039546287,118
268043545,-2080432758,222614285,1907623827,765463407,208293656,-773933556,630805815,1078821120,119
1012079158,-1585997403,-864814543,-817859214,-1363221007,1312149111,-1665652822,801272042,86103060,120
1165326077,793677843,860848864,680165247,1206999751,-825503437,1554358390,-1473482161,-2060743387,121
-171340562,1119453223,308438394,60521103,1106640873,-82173078,88948312,-614711356,1549956235,122
2074194517,983385601,1997694740,-420677440,-2049253429,-2145173268,907039322,1361342946,585360431,123
1181634919,-379822021,966241311,1970104671,28367976,866228559,1397658023,-947142719,584730625,124
-1973845597,-176709871,-1356890719,1602407467,1548122897,-1092894376,-1063700500,-1193631804,2014197967,125
1115881238,1216795433,1461589740,3107899,-2030471991,-1136099983,-2142853284,262516515,-1311733641,126
1182582754,567150034,-1706772087,1212814054,1155824204,-1313836803,-1838593777,-1999839194,-1685022537,127
-1280997841,-1553201014,-1286256377,-1881466001,-1743658063,-738308899,-1440736842,1660431871,-1417657307,128
691089606,1879174149,-2107717076,-557075727,599467110,1050841159,-1982154870,1789798505,-1819421674,129
-1250696096,1223150172,1582205007,-628057575,-1807678299,-1241366175,-1737763058,-82533701,-250111388,130
-1304109288,-1164247202,495639341,-259091568,1167255253,-1186173820,1409101041,1303363646,908778826,131
-322990668,-694084096,-677384474,258702283,-913143769,-1956016091,1415506133,-469815992,-1671060829,132
1262813771,1046497652,700465530,164986391,1980290866,-417029033,-471074804,-1977830009,1053783722,133
-2007795566,19660028,-805398827,-2080055530,589900177,1886262352,600855134,1485440174,-296483513,134
1168631059,1863606540,-1279640246,-1038174855,869922682,1649324074,374516375,913997762,-1541522404,135
1989325755,1315512053,78992006,-1443312550,1759082937,741329357,2122817193,623366118,-2061584974,136
2032103748,-1440816395,-2095375668,-471398487,1777332639,1794303063,687211592,545495409,-552114232,137
-1682847071,-1034956457,1363636047,-1467972264,525653504,-1502688425,1414739308,-437940705,269756487,138
-1874775043,-843169272,-435618498,-1224523703,-1903546107,-754954040,-1594421361,-1972778205,-1094238644,139
1967893538,-1392418061,197582654,1217384994,-1901407282,1147007599,1191601836,-208977515,737421690,140
-1601649908,661238567,-828491889,349189854,-620238172,-790092863,-526446256,-2041246943,-1681756535,141
-1884946205,-1500021691,740957475,-994906327,1853282920,1392732367,1647727563,-1530339121,1075642815,142
-698233363,-906128742,-359153710,1076099883,1113296544,1191873106,-1421208771,150538060,1039790049,143
507379408,-420511919,587780781,1423020899,-1314257011,-290044620,1525614165,1487256236,823653631,144
721536118,-1150067399,1192326986,1508744917,1667521293,-974808339,957715592,1979052959,-1207201519,145
-1909008237,1297062332,1451302000,-883918917,-106253186,1020164765,560934595,-1711634379,-2037149665,146
613181707,1441237144,468590003,2103337058,-1048858477,150879634,91597006,-1893865296,-208121286,147
11408711,480460280,190100058,-1085925740,810316771,-940306376,-192315605,-1134318540,255645747,148
-386986926,-1029372128,785396357,-1726344089,-298920397,1358888242,-1463748101,145172981,712052777,149
