P2_P_PARTKEY,P2_P_NAME,P2_P_MFGR,P2_P_BRAND,P2_P_TYPE,P2_P_SIZE,P2_P_CONTAINER,P2_P_RETAILPRICE,P2_P_COMMENT,nonce
-740092830,-1733393169,1033756972,-221053460,1516105841,-819892138,-284616696,-1318247879,-486239587,87456
-244611731,2116984989,1737036988,-716064693,-1218747931,-216397221,497009362,-1683762718,25470394,87457
-488961385,989764238,1709829236,927030275,1731518283,-885009023,-1775054966,1246896779,-1486029088,87458
-1871985728,585480162,267486196,-191659248,245727306,780135910,116282607,440706875,-398037639,87459
467601685,-699759205,-442562770,-1573633068,-1388759680,-106930278,492480991,1768332510,-1801734750,87460
-898995339,233103410,-2027832745,-285160694,-376934541,568870437,-112511982,-122779811,-310166743,87461
-971948741,1128949298,-1698100532,1513066985,1954995381,51889053,-1268208478,202967268,-2000976255,87462
1333673391,1618342611,-416101886,1361032619,-570073437,-1687478438,-759083399,2015730349,-294037103,87463
-498607624,1018000208,1072913032,-683743059,-315595756,-1182305494,1239717996,-1792193579,-1407988183,87464
1035590387,-1085107074,-553664489,-1008587044,-66357209,1109555992,1511939783,711009647,1272007559,87465
433995763,-2093934883,53505759,173677799,1593077733,-1630073027,758259335,603174489,-537876693,87466
-317365909,1888030301,-1535587949,1366757171,833300629,138065092,-1630953433,-1816022298,-1516483245,87467
656135393,1121473396,49937315,-1601054527,-1416643405,1933988134,-1458904490,1423405448,-443839139,87468
-174932960,-2074008931,-453493771,-2127122749,-2053133652,278827553,178013273,692843358,-178690886,87469
-2063904845,624028038,454261093,-516567120,198653618,159132318,-107056915,-769126380,1046070525,87470
-1053003339,-647713201,1653681367,1995299434,-787080069,-1095560187,1122621897,1623566356,-1881460841,87471
-1955891232,-350616457,-1724134010,1577127232,-913746279,531042912,1183296668,-213777242,51225521,87472
-1138328105,-1851424337,1325397492,-1768302919,1339297903,-651215739,1044045320,-417546466,-886818380,87473
1552536404,755093164,-1290311722,1077618101,1584582983,-1743671821,868960928,-2084057499,-2070830703,87474
-101978309,1914265579,1329421082,1022406710,1866386997,-1851286808,885489786,-984277747,948664188,87475
-785643942,-1026796262,-1451321782,-699568915,985931580,53772306,-1694463036,-870941921,1103552625,87476
-1873889714,-1448568942,1576411248,307721488,991205938,-1546074443,527240035,481936646,-634449084,87477
1929298021,-1154881079,-686895911,2095919216,91205678,-205194579,-289484783,-1556052363,-1104274263,87478
1506701377,-1994568359,2002278733,835819207,943758567,656556283,-957890767,876621010,-1060297894,87479
-1645753447,2030940769,680152491,-1005005991,-1544015807,1366820016,2091044846,-409420157,275369503,87480
1435325437,1271646212,1494113718,-1570534510,1805965608,-621396057,-1556238569,1216017939,1165188280,87481
-881980956,1347198767,1358269302,31610747,2070799724,-470998066,734070948,-1696796724,-1446108833,87482
970811066,-935808311,1534328339,-1126525867,-2013821714,276604424,258122145,-172721958,-86200639,87483
764038088,-1536454873,-641209430,1147945657,-323910808,-1881554425,1748370197,589244618,1869190819,87484
1542295459,-1909941819,-390198375,1562998760,900830038,-2045842475,-1768736287,615981791,-1510930654,87485
1792813304,-2016172028,-998873548,-1431663699,226467388,853612661,794255993,-1709022974,-1177092743,87486
702071747,-135193018,1799898261,-52377130,-171978072,1860864725,155624349,-770414303,392589104,87487
887875432,-1364200209,-640836930,-265965370,154158341,1943788689,1288299216,1047506006,1583296517,87488
1386949487,-1287800949,-1118498037,-385359517,-1425411612,-351039601,1700644077,1380713249,-143002937,87489
-703539500,-1771643945,-764068370,-415032629,1662023565,-1756498657,1241569952,452166187,267336937,87490
-976300601,269918456,-90984130,1770756495,1229274328,-340795460,-62359971,2007659064,673173347,87491
-1314022339,1094922609,-882997977,1069566111,764808468,367130636,-640468369,-290652553,-1288970875,87492
-254253359,1918839011,1390497535,-553439986,-1094120447,415345475,-622544854,2122937192,1670811809,87493
1416072116,913172892,2038466940,715126495,100429752,-2034696306,-666204475,336786946,-683795233,87494
-1017981795,-972533674,345654567,-1330458941,-1034081769,405817900,479258106,1264999015,1856131455,87495
-1507680338,1173192926,1899310983,828504528,-1091414804,1342222510,599370079,76375369,-1780339279,87496
35796481,269272903,837481805,1693545047,-219525250,1993135910,1866804521,-239442817,124647998,87497
1471776778,-1979039875,1349372033,338372154,-1976398947,1723955271,1344481016,-68606550,-954281120,87498
1473951672,-1035213115,-247065770,-1995135511,-924722238,-1275849432,-171768731,-912862888,252296209,87499
-642156065,-2047924245,1464860953,531483466,2035398668,1887417917,-1548634931,375642644,-1835814515,87500
905768902,-2070310017,-1434373075,910475898,1434955482,247493795,298844952,1850019277,-696114438,87501
1218887988,-972222259,903521703,1248502907,-235346217,-975433204,-729706375,604955361,-541524278,87502
1977336612,1592945888,-227696573,-482248659,1737739756,1192497803,-549397826,-866262058,1262667987,87503
1156108576,1653751923,-896721506,-1629930797,-1467907100,593495423,572656556,-1842438676,1131053425,87504
985748934,-53636420,1312061384,-2098099806,-1084583610,1343206407,2044577177,-926702642,784809067,87505
1755887157,597544345,1342061737,-284401719,-493668054,1723931434,-1126524792,1993523425,2022977167,87506
1693968702,-432731808,-2110743815,-1760668015,584754583,1372001171,1479736893,1807673230,996841008,87507
232445594,983066189,1691229377,-1280173814,1564551467,1098597155,890442837,-1278795646,189755734,87508
464892147,-408559401,918488658,-1556326039,682376459,-1142234904,-1294650289,124894082,-528555031,87509
-1759055366,-1013496841,-170250748,-1529794636,1830880595,-797808738,1016321031,1104982584,-1320534387,87510
961525030,-810661821,-1868289096,665236534,-198507987,-1851004807,-1681133136,-1257288031,-650735132,87511
133024347,-1398502258,-647876900,1876219426,1282760472,-128937049,-566254122,94261674,-281015025,87512
270085647,-340951653,2057204348,-773416152,-1879899274,-2090206833,-1327814927,156441297,1921609968,87513
-1496718880,1588321434,-1065593013,14536862,-1010010123,-1346643509,193142657,1538086496,473780855,87514
-1775958037,987146248,1373197718,2120880794,1930874729,1818485339,-1411259371,1270258825,-1996083670,87515
1094263036,1756127632,-954083640,-1436133014,-1140890501,593791574,531804028,-1970915801,1724319514,87516
1382762731,-881635761,769262059,-307673260,558692519,1744877028,2040436361,2049869375,399247891,87517
-855563198,-1050065680,771286919,-1032924546,-468715288,-1218075515,-2073947613,-1861883254,1159055804,87518
2128609807,1533960148,-2116540028,558271223,-776112945,-1439268460,-120280182,-411990679,2145981641,87519
-802883974,1785193858,543766171,-1269584250,-220331704,1008792161,-1166815308,-87679419,975904291,87520
-320482973,1043776844,1109972058,826178453,-978026727,-314348750,-1993785018,-1455011505,-1563720082,87521
-1703789366,-395746964,-98286257,-188389082,-1443175784,2009951900,81046193,-275422231,1233076957,87522
1888739335,-377081234,945425953,705227291,-1370695175,161811836,-1050254360,691087805,-955327280,87523
905737055,-737827263,1321588026,-116942150,-1903717125,516706773,-1468088826,-348270018,-182106642,87524
2117530829,-1383377912,-1841187173,-33856251,-1282811008,1284110587,72482827,851467205,-1051261289,87525
-479695188,-1459647161,-1380380229,-1572178142,1495124271,1502366964,969393037,-1010641258,-2120498111,87526
-1652664142,416067193,1202285387,-389275704,1023024441,899138595,-606962671,42650465,1878318763,87527
-1808196985,-225178606,-1650577180,-181717185,-1725752403,-1967204045,-1033829852,-2090381823,-2111281978,87528
1981947374,-1596371973,-2111302841,-1405655855,1656269180,527881162,525987008,1483360179,2105727486,87529
-223006444,-1384478755,-1702395480,1622364216,115541855,1318524569,-1176731482,-410096540,-32094911,87530
-1533682299,1809323955,357224926,804030162,-917108357,-791574029,440642834,-472351774,594230303,87531
1756896455,-2067085858,-888789249,787649828,121990609,59011888,1278505683,-1141997507,274421365,87532
1667945636,747637968,-758135363,-599748011,-176577971,-421521749,978660340,1159657349,-346189504,87533
-1701389116,2047882480,1242885180,795420498,-1288378429,1342650198,1236861345,703516545,839787433,87534
-926513921,-1429816861,92837843,1589602146,767775484,-183014438,-1831574364,491131401,726046466,87535
-1724711087,512259702,65845374,1334996517,768201749,522120663,-617017888,-1186669047,-1500491382,87536
491007590,-665874225,-1245981997,700257126,-1593553903,860523664,-835492246,-430996363,-1027994888,87537
901697301,1904863658,-565280913,1383819074,1561854000,336686749,-258499233,492891995,-1825809833,87538
1566179587,-509752634,1694881195,819948079,-1995575923,73396189,-1359994771,2005617075,-578090392,87539
1750572211,726213415,177798902,735420237,1581098409,-1442559804,-1920129774,1278531919,1338893870,87540
1071587109,381379991,2070827565,777282901,-1362251270,-2035623536,-368712705,1425899944,-1753120636,87541
-144947653,-645611892,-1248072481,1056219868,-2100743342,-1074717406,-1328622304,1068677855,1335457228,87542
-1838637141,-235530515,-69367388,-943363892,-1820563861,-47434398,1082509634,-571868765,-99799143,87543
-821791609,227471390,523971984,819306100,1672049400,1778704549,129099111,-697012176,-2084480620,87544
295828672,-1134608123,1116464766,1821665208,1449385173,-526718729,-1748465150,-901289131,240629968,87545
1998688604,1699509102,1138836374,-637598442,-1522662131,-813394446,-851835615,-1908599722,-1058158158,87546
2138152962,-956381326,-1845197467,-1901387149,1229106392,-48536850,-1380783872,870498453,-995684861,87547
-1329610064,1172513295,-304334096,2135129674,1126876254,394781619,-646714562,723052991,-963153118,87548
1627312593,2145834068,-1819539295,2076566779,-1727248242,1388069440,-298412017,-1052065107,-37545260,87549
-692200010,-1093937850,-260117135,2077545923,1683186307,1825928409,-1843812141,1680904196,-356689537,87550
-817013173,-676952441,865562301,-1787643042,-393116933,-1033454768,1869600008,-1098218874,-299102338,87551
-1180102387,489330194,-643142191,987929813,-1588976149,-1092740759,1882715270,-699650669,-1371091110,87552
123481279,385430295,166332292,-1115435802,-87304487,-367613975,399814761,-759230101,-508707830,87553
990871685,-4841057,1408332712,1445161188,825094105,-263048244,-1478143089,-378002521,1036263572,87554
-1787845675,586601674,1532773243,187464042,1099395725,-12475245,-591370801,-684107108,1731864086,87555
784223594,-1107059104,449604541,1136419847,2044459949,-1574338635,737603559,2134902588,-1706817066,87556
-691548337,-1275110278,-519656553,-455428439,-1507752838,-47648586,-1350048738,176238853,-1431489523,87557
197454314,-2022838930,966139546,1098310540,-1697402874,-1209812359,-1355472265,-61196967,1243849605,87558
1638535115,-1182562922,1332397275,-138050600,-1454430233,1526825353,1569514637,1892354890,708684198,87559
-1748407782,-138966234,-1228010494,-1649896712,927810406,-698170039,1333040412,1389976744,1980119444,87560
-36173684,-625227903,-999902631,-1289932858,1422341166,-864145567,932576415,1494881615,-2084982137,87561
-719278262,1097071931,-1276177964,41361515,-1264454306,-1322287743,1278539584,-918126678,1985441042,87562
888717812,2105895832,1351661926,1522541472,294012140,-974925072,-322104498,1063837657,-493849540,87563
1606551238,-1875776131,2079133456,-1232813693,1140372214,272993817,1429110849,-636901865,1352682125,87564
-79119732,1990001241,1885419553,308224042,-2085686118,-1573001416,359540659,2103135140,-612451581,87565
1781632051,-1016544221,-358986557,-1463532469,-168589748,2009868029,-98778639,1958018228,-608833109,87566
913516531,-1232970745,-116250850,-913237128,-1308523998,-2119818253,-1757482819,-1726383076,-899121674,87567
714453429,-1948311201,-1905285,1878745791,-131075355,2004450148,-1820989846,1263658951,771535955,87568
-130483997,-526274864,1646837318,1099903784,-1047306343,754705014,-7584023,1370052026,1634338116,87569
-1008848792,1362341378,774565087,1839891623,2049865442,-567658256,-86228331,1248136378,-160852706,87570
1318469468,145885807,1640946511,967897920,-1489603440,1085842882,849461819,1869132132,-484009079,87571
1250204317,1545980903,1930695164,630093484,836380268,-1360309056,-1641104295,547667972,-1500814131,87572
1622731370,1302760983,-1495142043,1755229924,-2043973294,-627034269,-598899707,790623926,1939383760,87573
