N2_N_NATIONKEY,N2_N_NAME,N2_N_REGIONKEY,N2_N_COMMENT,nonce
1208921633,-540534714,1425448313,2054516405,85426
-1350659986,985950269,888448123,679808852,85427
-208755780,-2049178622,-2117730523,-408347036,85428
713208038,1415407403,-550466501,-358818562,85429
459780022,-1132104900,581808385,1905836513,85430
100893542,-1537491764,1238696991,215743782,85431
-1164147160,1470301794,1872482331,-739562708,85432
-395494455,-1633256834,1334791848,-1799519572,85433
-826495373,1013814560,-298349360,1477014241,85434
-1214620755,-1356456735,1440494969,-1530136585,85435
570123351,778607117,638467902,-1129740441,85436
1239782949,1629782789,-764474200,462993646,85437
-1423324567,1873844519,-729308187,-214375547,85438
-448362169,-225466057,2119176938,1536860014,85439
-1311469849,484663054,-992850354,2134489451,85440
-51362633,-1728392040,794801089,-1141506713,85441
268183308,1891052257,-754728783,-976784381,85442
688797591,-144029783,100829741,2071980991,85443
1944577010,399763039,-631665324,-1746117023,85444
-1671611733,-901701651,298796795,572960719,85445
-191605207,-1715642664,-327083094,-562399190,85446
506430917,-350181088,-2099129113,68266062,85447
-1049231133,-496234638,-861444533,-80967939,85448
-901659570,1559560752,1455039425,-774329704,85449
1633762338,1219182826,-1708849441,879082515,85450
