N_NATIONKEY,N_NAME,N_REGIONKEY,N_COMMENT,nonce
-1213932063,-556182713,1099185549,-1195683949,2126
1943679179,-929309895,-914612003,643132084,2127
-1429157666,-787793714,888976056,215385946,2128
531422348,-1837920394,986792609,-2106008849,2129
62145038,621274989,-1310861250,-58263066,2130
-823637680,-986416044,-464021586,1447992050,2131
-1666061452,1137600262,684996432,911567663,2132
-1226248487,-667791183,-180605802,562009839,2133
-1021531784,-259694611,-1656640654,-131483178,2134
-298350758,-1859330143,-198608148,992144886,2135
892153838,-469224588,-972084980,-1907738788,2136
587356257,1630682173,-1818558440,-458346566,2137
979690168,-1679013047,-518759757,1032140886,2138
1641876319,392677619,-2026594387,-753222896,2139
-241027406,-1346020786,294491026,763526967,2140
2143386740,1029132940,-243718916,-1710715574,2141
1504353638,2043389837,-1977745029,-4894057,2142
-81235343,1615283131,-28024922,740905537,2143
-1180023679,-689553471,364552830,-373138575,2144
747850714,-53669881,1980994749,-811063720,2145
77402730,-1282134174,1558977583,-405386595,2146
-1031775564,-1163601795,1231369374,1818299203,2147
193627891,1536444579,1513927262,-1820892571,2148
1458604273,-1751965104,-338426023,504273277,2149
463817834,662844051,-1715545036,1954379099,2150
