S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,S_COMMENT,nonce
-1987123204,2089657013,2105225889,-1731346620,-1874515860,145899576,-231745370,17151
1993995708,1648713923,-663732901,1434673214,584662883,-906042649,1522687324,17152
-847437362,-614220002,1734417618,-762856394,-1372387543,911071222,-1525147564,17153
-207544401,-1334346102,-1839546814,987899698,2041811445,2028245808,-1658311925,17154
1786383722,-1443999538,1700461606,-1996728716,-370622807,-1216274439,-292237392,17155
1429021104,-1260037990,-974219393,-661045713,1689030046,1114474270,-1944198336,17156
-1482987283,1535101158,1261228964,670540125,-458922345,1171333257,-721349678,17157
762628747,1993138073,626550532,-861025092,-1495549249,1901109731,-1684605195,17158
-1772100492,2109236647,1485074267,-361899957,181367822,2110284484,-328488606,17159
1331907864,-109778923,-314887827,-924648747,958759117,-498588111,-775078771,17160
1708165866,1859084715,-1513244318,871174206,331169808,1236265919,-489600106,17161
-50349471,517853035,-2009990207,1196137275,-217793547,714766228,-1144728956,17162
15655762,928109760,-1462953642,-432192928,-665997695,-1394317164,-464605284,17163
-435591558,-1226007865,838791324,1981310536,1923202834,889916854,1406468367,17164
1291073105,108479573,-1160314892,2107268083,1235259177,-344285161,-317742445,17165
224685880,17434079,1024266643,11638169,1114489752,-427853724,-1664162716,17166
537539182,-2105047363,-1190464762,857770192,1248365103,-157701407,127895967,17167
-1744916941,-49770770,-439293586,531945323,-1315363994,-1767400308,-338874571,17168
1702157007,1550501760,-1646554357,602562003,-76914015,-1449156927,1506635610,17169
345899050,1157315079,600961094,-888336320,1085792658,493906438,112213287,17170
610909799,-121628810,1562856107,-2113312225,2087539306,-252046072,154179968,17171
-240510391,-432094458,2022219036,-1883728347,-661359017,-453690119,1145686995,17172
-1656161280,904034505,1822975622,926857074,78381507,1768298994,-1649619332,17173
1372402315,-1706696284,527957262,1643206172,408088099,1695987786,-58235120,17174
1082576340,-678315264,378626814,-1806434967,1646216932,-1785780796,-464549544,17175
1731982561,-1513020648,518930798,738323921,-849271458,-781157274,-1137815644,17176
-41889912,-1524998573,808741790,778197916,-1135954649,966984072,626694955,17177
-1761801319,-2117914864,92402570,-86506844,-1281468401,842594902,1269424397,17178
-1930323663,-935446679,-1084989183,1234032074,-1822169333,-124316070,-849269180,17179
1098049602,928663234,1731417291,1516661293,-2036828562,1140023700,1321677966,17180
-953505471,-1222813995,1171261155,676839640,1159244843,1358994205,-206776259,17181
1262454502,336114356,1235237518,-1128750845,912059967,449479189,-142136982,17182
1438133302,1015511960,1193387510,-424339474,-782907364,971402782,953904303,17183
947552113,1127183135,-2032598758,-565690505,1003057297,-1246927730,2044349036,17184
1453610381,343164500,-1937323711,-519233876,-850719130,-268319546,-570954764,17185
-85484737,-1027072507,-773306022,678908548,-2143089344,-488915854,1032397477,17186
-1699006194,1872772326,778248351,-1497142643,-128735243,532097031,1612280981,17187
1239608117,918105044,318824222,674091377,179424557,-54300917,-876577340,17188
2145074411,-1887786875,1968231460,-1729224326,1484790182,729439280,830155863,17189
-1284623705,-322770925,-27503468,-1137100487,-1506866820,1948033159,-508515808,17190
-692351171,-567298708,-142211551,2068316895,-1697902566,-1923969477,972495080,17191
-2113578390,-1851789260,-84939544,506624233,-2129222588,1210446184,1862826540,17192
1683570166,1398817797,-1679752437,1888246294,-1397697560,1101597920,-1290967791,17193
1937275738,-1741712312,331193102,-742317108,-1233713266,27440688,-644769139,17194
563957080,-714693864,-1373555231,-1599700771,-256537233,674087299,-770417462,17195
-1081470240,669347096,-799483126,1722231102,441516461,491159162,-1246672877,17196
1028596740,1537511146,-1611700529,-1581004601,1835516740,257279988,-634437936,17197
-1324388201,-710828774,1364172720,936419651,-1542789816,110872996,1077659720,17198
1229659713,-1776633535,-1882930662,-417678575,1497464078,2007375069,-1697837252,17199
1595960214,-1005158896,-1822295404,-1419981976,-1526489311,1514993324,-579075886,17200
-786629872,-239680156,-912748077,2054061728,1301887498,2022301617,1201526060,17201
-371718420,-1057645723,-990622243,2092013280,-1880103667,-204366301,1954329562,17202
1492424579,-409795195,1719855961,-1903772744,-1202326771,1806791663,-429061124,17203
-953135206,2017129096,1682880010,-945647445,1413794302,1142568441,1899070365,17204
