S2_S_SUPPKEY,S2_S_NAME,S2_S_ADDRESS,S2_S_NATIONKEY,S2_S_PHONE,S2_S_ACCTBAL,S2_S_COMMENT,nonce
1974451867,-1209028694,-2133414339,-446393186,2028481776,1471709140,-1870328117,89456
512827513,-1812736989,-1837861021,-782480104,-1049888865,-1377346046,1874467228,89457
1991963428,140891998,-615242465,-56530686,-44986810,367523168,433957877,89458
2022067850,423177873,-2000126903,208346046,70095001,672335806,899137897,89459
1326684903,-648081802,750332086,813567281,1369741019,214753278,45425770,89460
-1831364125,1269864519,103145846,-1300611999,683905865,-250132342,-490764486,89461
1103851465,616612633,1089376889,285363583,135585638,1636892262,-2144731513,89462
-1938464069,1691480500,877548629,1046011472,-752408856,-680609973,381921710,89463
-241868645,1038138928,59428291,-975602770,-890382070,-749378338,1374528815,89464
-1558720564,-762765844,977110554,110836318,-2075936137,-1704140811,1323014151,89465
302076498,1431831134,1549520210,1643375313,1306419680,1421430742,-470073325,89466
1104500370,2051060956,-11342914,-1097779990,-359417879,-1974466045,2068687371,89467
590437573,-1517943826,1442860271,-885356314,-840482080,2107915428,1014490167,89468
1329615796,-458014239,-713058725,1007468417,577080279,-1768282873,-1327522537,89469
-104925247,-424388093,664431308,1043335807,1048441882,1285681656,1713679662,89470
516331543,785711308,130542502,-1694102085,1022582356,2123717711,1294559667,89471
1919690964,-2003363833,2077659295,620651109,509935854,-332477349,-1780377957,89472
811024066,-1823241543,-655180102,81048797,-871152630,1808890703,-1452220832,89473
1848500061,891266484,-1288472463,-113772457,-1105111842,918019849,1013807352,89474
90973658,-1813233113,-463738977,979760533,-569684290,1275707224,-381915649,89475
718507533,-1242589510,-216908623,777923014,741194660,1962412384,1093629441,89476
867865768,-44749877,-1175475565,598078747,-1610338909,1415683543,1709287630,89477
1696349423,-1363545575,872791750,1612020510,-1581492447,518052073,2085386451,89478
2115133673,-1052088812,926504966,-1155412257,1605406238,-1936175562,-909175277,89479
-126777997,1266038809,-1468961879,497096189,1939191970,1196823683,1894330713,89480
1731100366,777231327,1199315203,156713732,1719755155,-107379432,-1138011099,89481
-1472193117,-1665084594,1910614523,-515625413,882758818,-2118729464,-563958781,89482
-161002396,1513025693,-1828729622,1755494694,930892079,802614585,1024711819,89483
-463951278,1040005660,1564891580,-2133343851,1950510812,592704067,1496625479,89484
-2118752189,-592023780,95603548,1982773497,-2091078515,-1515030501,1423932493,89485
922902056,-1796556739,1088153268,-1655103535,1660722380,1120879246,-696491248,89486
-8910488,57130109,-821812713,-2079622644,1796701265,1476686104,-1125219203,89487
1408628770,-1119434813,-120701730,-846718248,1228696390,-2095860998,-693727583,89488
-1217092756,-2135688385,-203533975,-870855025,-1197964237,211361107,2135289043,89489
871090449,1886488611,1891509082,-59224260,-54214201,1218288833,1605649277,89490
-1896119934,-1753366439,1159819438,-179546947,960159814,575047441,1408259291,89491
-819755667,-771636766,15838526,988942035,2128699037,1995532598,-1127329358,89492
1707612156,-1840557993,525274044,-413078754,2002417628,-706339062,435984434,89493
26599165,1151286250,1096689707,-1540455773,82924094,-282353892,-2003327985,89494
650221367,269249233,866094722,335344881,97036615,2138004181,438540057,89495
1547900629,-1086434453,463381182,845399864,1930597208,-509910612,544256940,89496
-1726816087,-558433683,171894891,280707456,-252635100,-1906631779,1057387437,89497
-1950676522,-178511075,1074519679,-904934577,993370207,-444796882,1278263366,89498
-2062116517,1855121783,1277194332,-1473656047,-973807923,1669490484,-558002034,89499
-595426835,-1709825295,-1061742783,-977547216,-893272265,-345200095,-748100468,89500
214453294,-450677066,144049578,2052754260,-1456981535,165364890,-1169976083,89501
440548080,-1347553137,1427162477,-1637659768,2022182197,-61590435,529962335,89502
1393205698,-1986829744,1025628178,-202360469,1938405575,1492798452,-2027730360,89503
269805318,1294384245,668458453,1522222749,1529922150,1929550812,1507155535,89504
-1335225508,1817910177,1756903248,483202519,1384951202,16450954,788170055,89505
1107523523,1807630862,162016408,749648517,-1671111368,2037452192,-751679528,89506
138201365,-1747417651,1468047414,988186015,-1039996342,-1952058825,-1020793712,89507
1119830899,250496857,-765671741,1895067673,1975248136,-1282618812,1028886669,89508
277481965,-42898431,-1484674019,-1239265991,-43342689,-54561658,-639342714,89509
1730933046,1130980617,2125266837,658541816,991908240,-1339196508,103892978,89510
-172302047,-1742114544,-1250376752,93293329,754402140,818675180,-1049172613,89511
-2068846906,-767281555,588493402,2098324566,151789808,40288800,1061003392,89512
-609101354,-21051935,1204950379,-527533264,-1188825240,-1857320640,439982255,89513
-217831951,-862199735,1870456945,2096759797,1888670561,-1705372975,90176296,89514
489839510,1203796430,1456835988,832686128,1533406228,1209103114,1903899060,89515
-801706249,-234720346,-14244310,-1634162594,-837011997,-1739804477,-599025578,89516
895050121,312739414,92200533,-505152527,-726607191,-471648702,806798473,89517
817028552,-377957392,-32233593,1859228479,837842635,1114126989,-302797498,89518
-1962990472,-987092312,-788275342,488040086,-1164672892,954386064,-810706947,89519
617126874,658872262,1043432394,-41279239,270242442,1404597963,-1225291742,89520
-1764423862,1459011298,-29515633,1879519154,-2025705933,94416061,191758981,89521
-279619145,-1021888480,276893348,-1239710465,501951296,1948276183,1494527406,89522
-708998876,-1291155872,272069275,-529631857,-1878696684,1066378572,1919123845,89523
-1910799718,-79832973,1117265579,-707579604,1516747564,1260052863,-953563446,89524
-2079768708,-607580725,-629469474,-1319336891,131239084,607271481,-2047790050,89525
46515990,1541135668,2109982591,791045552,1932858574,-504705786,897670783,89526
2037162643,1630270577,-1648834831,-1625445972,1997287427,-827414187,1005884995,89527
-1799651916,596174089,874498704,2071221027,110696154,36792130,1567017225,89528
896595523,99471677,-309675820,-1878756022,594048683,204270880,90099963,89529
883926159,1239169204,1659576137,-2102633086,1179126155,-1758736026,-130741048,89530
1273015556,-1050381677,-1948355814,-690231198,1874802579,-199395802,-1234901348,89531
1889368822,-80617235,426944777,-1946080371,1676817362,-1580784806,-310162485,89532
610459336,-148409040,-1840951573,309560461,-1613269274,340319208,257051053,89533
-1448152442,1934344709,-1804941547,-777382699,1725680083,-1449769330,-1144850133,89534
-1080008696,-801409663,-1196747668,1763984545,599718776,-1136379467,-749203437,89535
1820016180,182280390,-1490993528,1113715308,359979031,1550944338,-2005294231,89536
-232624321,23004091,1849169626,1618034458,-1014167878,259766540,2138517964,89537
1905440018,1407640249,-1813689631,36591382,23493973,1718566438,141697891,89538
-1878704456,1896305549,1597378324,-378159668,699394646,-1531629664,318248554,89539
-934226928,969095631,-1997223328,-1881572009,1123498253,1553343388,-280474484,89540
2073618301,-560493636,1576722174,323990644,1435689706,-537278273,-1565772357,89541
-112537097,-126644099,1970235633,697965165,-1856394232,-342620609,-552026520,89542
609674972,-1310139126,961051066,913052958,412625673,1289321234,-1494180398,89543
260384191,49078193,258809339,-100621046,45099774,-798766090,-1307523091,89544
1996762634,1692946655,-2059165998,357036873,1079254417,-825253493,746600987,89545
-729022118,2127205149,368987103,-188192844,-1590191582,1867245340,975773972,89546
-933385588,1583380425,1951775353,-2070238757,2101825392,534760679,973793344,89547
-368209082,-759051780,402372704,-1296385786,-263310287,1943173202,2053957476,89548
356200569,1490319908,1936178253,-980506935,-1829767044,1102344179,-143894019,89549
946233492,927725483,470265424,666859721,1635550409,-766268592,1401712504,89550
857158370,-27627419,-690235620,-358497131,1605346321,1058767738,-1991259715,89551
401876001,-467957817,-1276924014,-1297881061,-1755326779,490144680,-1414397020,89552
1535895273,-1615304454,-1250824551,-325038043,1658316998,-314208685,-267605547,89553
-769725866,-964900907,386767743,-565293982,-913020126,1905261466,1019957815,89554
-1544257089,-1955172432,154126265,2133407226,1339420642,1407031949,-1263101902,89555
