PS_PARTKEY,PS_SUPPKEY,PS_AVAILQTY,PS_SUPPLYCOST,PS_COMMENT
1,2,3325,77164,88293112
1,27,8076,99349,751584023
1,52,3956,33709,130467716
1,77,4069,35784,148072346
2,3,8895,37849,890332928
2,28,4969,91527,245625543
2,53,8539,43837,16218273
2,78,3025,30639,652969010
3,4,4651,92092,907835625
3,29,4093,49813,884599385
3,54,3917,64540,466332125
3,79,9942,19192,879520048
4,5,1339,11397,319985334
4,30,6377,59117,741077420
4,55,2694,5137,1023652230
4,80,2480,44437,444346229
5,6,3735,25588,902700408
5,31,9653,5052,247072030
5,56,1329,21983,692493372
5,81,6925,53798,111592728
6,7,8851,13072,702784035
6,32,1627,42425,802647353
6,57,3336,64213,5794471
6,82,6451,17532,219578025
7,8,7454,76398,414099870
7,33,2770,14966,553337593
7,58,3377,6877,108498767
7,83,9460,29958,112248910
8,9,6834,24963,291361490
8,34,396,95734,856476921
8,59,9845,22062,491425612
8,84,8126,91691,808324854
9,10,7054,8420,940987550
9,35,7542,81184,1068071338
9,60,9583,38131,314835071
9,85,3063,29183,87934108
10,11,2952,99612,680213048
10,36,3335,67327,720564078
10,61,5691,16400,410103387
10,86,841,37402,47494202
11,12,4540,70987,459746227
11,37,4729,89490,526842775
11,62,3708,81874,936713744
11,87,3213,47198,1022371928
12,13,3610,65973,647530176
12,38,7606,33281,996837625
12,63,824,33706,203907406
12,88,5454,90170,550532532
13,14,612,16944,526784839
13,39,7268,86270,859013936
13,64,864,3864,1067997921
13,89,9736,32718,412453378
14,15,5278,65007,642080610
14,40,5334,88950,80305879
14,65,3676,89339,711753001
14,90,4947,31013,878223293
15,16,7047,83570,869286297
15,41,3336,78455,973268266
15,66,3316,26589,338672727
15,91,5255,45867,907260260
16,17,5282,70916,934636956
16,42,9412,88753,888989512
16,67,854,78191,255659309
16,92,1491,91851,996088470
17,18,8555,99535,1025726852
17,43,7737,64875,984605665
17,68,3123,55504,909328853
17,93,3203,6440,787420293
18,19,1125,66417,18920199
18,44,8132,5244,786544646
18,69,3133,56861,920594033
18,94,6475,38629,323526899
19,20,1416,14480,944649700
19,45,5467,40570,532080275
19,70,8800,63566,380630226
19,95,1340,34692,351166395
20,21,2927,67554,76526187
20,46,2723,30583,586991039
20,71,5905,54666,596946630
20,96,4271,11589,871911685
21,22,6571,94444,95870567
21,47,1704,13905,668718078
21,72,7153,66450,1035392811
21,97,367,58486,376432287
22,23,4410,78618,607108420
22,48,9779,63584,731685196
22,73,7834,35916,530997932
22,98,1434,59721,210456219
23,24,2739,46012,107059498
23,49,5739,10313,791694595
23,74,9898,23394,619541073
23,99,7035,5175,800040662
24,25,5180,90541,520512267
24,50,2227,51120,378454392
24,75,7182,58203,459556460
24,100,5318,6215,1010079690
25,26,9029,83274,548411202
25,51,9062,92896,881672749
25,76,9946,69435,736111097
25,1,7340,74659,235567303
26,27,5020,68396,348800985
26,52,6577,89220,129665797
26,77,3499,38211,805343459
26,2,9702,82189,165241331
27,28,2111,44401,658442130
27,53,9080,15703,851188923
27,78,3407,15134,188087108
27,3,4283,34861,873451395
28,29,6643,20486,569323933
28,54,2452,74457,442129391
28,79,302,69030,950585823
28,4,9988,66653,172004174
29,30,3506,79927,663589995
29,55,8106,98133,487092080
29,80,9193,73444,71265761
29,5,6252,18621,46335114
30,31,4767,98905,938670323
30,56,535,74326,699201330
30,81,7756,56886,208421343
30,6,7945,58384,843462510
31,32,9685,62084,248268303
31,57,1951,12099,1059219875
31,82,1402,76164,253875607
31,7,137,84911,709608918
32,33,2203,40603,180266221
32,58,467,10934,806451665
32,83,7975,74714,10077887
32,8,7938,85609,1043614121
33,34,4028,89146,881130490
33,59,4410,92905,105273240
33,84,1287,31076,1052282051
33,9,6006,32719,57800425
34,35,9934,84875,526048164
34,60,4749,26531,881797744
34,85,5459,82469,21181102
34,10,5884,60969,765678988
35,36,2500,45158,355736717
35,61,8875,53772,587374866
35,86,596,66919,405470048
35,11,2025,41117,170134375
36,37,3907,63091,46520837
36,62,174,43447,707694478
36,87,2625,56991,1012877634
36,12,8209,28914,1059250225
37,38,7171,82496,897185412
37,63,5542,12659,478235657
37,88,7113,1572,1023231075
37,13,1449,74564,118774894
38,39,1226,57011,693337515
38,64,4237,66275,428467716
38,89,1135,16069,1048097765
38,14,3516,84709,479448391
