O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
1,370,567770569,17279949,35064,860677961,2313745,0,342870146
2,781,567770569,3842608,35398,247522663,133747764,0,99189504
3,1234,245580493,20565430,34254,860677961,655552292,0,510510893
4,1369,567770569,5600091,34981,860677961,940291062,0,924629774
5,445,245580493,10536767,34543,860677961,956628964,0,748080561
6,557,245580493,4552310,33653,758027517,1046008337,0,1013973401
7,392,567770569,27188565,35072,590808642,842855010,0,671992990
32,1301,567770569,19866557,34894,590808642,591697262,0,318343493
33,670,245580493,14656724,34267,924311831,477731116,0,584543801
34,611,567770569,7331548,35995,924311831,298070466,0,630026205
35,1276,567770569,19464193,34993,758027517,284968325,0,713603902
36,1153,567770569,4201104,35004,247522663,514988769,0,772471268
37,862,245580493,13189649,33756,924311831,275591422,0,227385419
38,1249,567770569,7155308,35296,758027517,739608980,0,951251049
39,818,567770569,32656537,35326,924311831,419089693,0,869411323
64,322,245580493,3583173,34529,924311831,693731621,0,595095281
65,163,1018611361,9546944,34774,247522663,493998444,0,890320900
66,1292,245580493,10419066,34352,860677961,1140335,0,870538539
67,568,567770569,18248116,35416,758027517,916395762,0,444190329
68,286,567770569,30196878,35901,924311831,541712408,0,1070057482
69,845,245580493,20411073,34487,758027517,399894833,0,835894693
70,644,245580493,12570532,34319,860677961,489262012,0,389853185
71,34,567770569,26060338,35817,758027517,680333316,0,959018001
96,1078,245580493,6436430,34439,590808642,634802496,0,635567305
97,211,245580493,10057255,33996,924311831,916395762,0,88978397
98,1045,245580493,7172139,34600,247522663,607832894,0,542552525
99,890,245580493,10859487,34404,758027517,941343076,0,311600478
100,1471,567770569,19897827,35852,758027517,949559337,0,807454881
101,280,567770569,11844839,35139,924311831,440470394,0,84233448
102,8,567770569,18480658,35557,590808642,268682632,0,970428564
103,292,567770569,11874516,35234,758027517,285253997,0,636670899
