N2_N_NATIONKEY,N2_N_NAME,N2_N_REGIONKEY,N2_N_COMMENT,nonce
-1179133396,-1314016840,-546374577,-1526335332,1736
157566705,762760410,678984968,-1190217245,1737
-1841167374,481604547,-1899628226,758756738,1738
-313179878,-691343934,-1876489391,129439940,1739
-1262795898,1530185032,-942893686,-1284633427,1740
732773675,-1528727901,-680383019,-111257483,1741
-917384262,-1775726238,-2139080731,-1207240356,1742
583172521,1388424704,-1080543434,44020851,1743
1739511632,1072854028,-129099520,-1618944465,1744
1806578559,-1910214507,1046850953,1435069037,1745
1843647302,-1382308939,-981378737,-854480902,1746
805247285,1106697888,350022558,658752279,1747
1580758691,932046321,1945875210,-116021062,1748
-2006491035,-28780233,-278491657,-424471553,1749
1273792366,307006669,52277452,-1798857757,1750
1729986405,-1719923723,-980749019,-2130236310,1751
704965959,-153813163,23799849,-727331997,1752
-465044675,1417245233,-925057672,-365048268,1753
562490257,-500510037,1511476650,1881103645,1754
-1748078316,606677181,-149963898,1869864463,1755
1991690451,628304399,-883980703,-123984429,1756
-1121098787,-408760925,935483484,121084310,1757
1322416100,1324721603,-1775451570,-1526001327,1758
-1094717509,648063147,-371909928,-1843147401,1759
374014753,-2057866601,-821545073,736998835,1760
