S2_S_SUPPKEY,S2_S_NAME,S2_S_ADDRESS,S2_S_NATIONKEY,S2_S_PHONE,S2_S_ACCTBAL,S2_S_COMMENT,nonce
892153829,-1058862073,-721517939,-1530150586,-116894567,-1441030111,230591024,2136
587356264,1386126287,-1593826943,-240019302,1084794909,-1920798179,-306112539,2137
979690167,-1406842636,-523275471,122128493,1015025533,317268478,2138345165,2138
1641876310,993064787,-1327539565,-194056598,864480381,338813117,951228273,2139
-241027399,-1896829847,73333367,352589680,696020833,1865242563,292162727,2140
2143386749,954779604,-1042938017,-2018053698,-1299801800,-1086503840,1900936821,2141
1504353649,1178974565,-1523838460,-203719995,1447170704,-1657819289,-1791112712,2142
-81235352,1629591483,-961857320,634197772,1088459267,1001964334,1374046802,2143
-1180023654,-605469990,847613633,-669677002,482400689,614456454,204761858,2144
747850691,-511555726,1812030665,-974627823,1645278837,-1722079156,-1134946559,2145
