P1_P_PARTKEY,P1_P_NAME,P1_P_MFGR,P1_P_BRAND,P1_P_TYPE,P1_P_SIZE,P1_P_CONTAINER,P1_P_RETAILPRICE,P1_P_COMMENT,nonce
566091621,1185622295,-1933880145,1298710202,946293400,391305156,-1128211650,-1656036942,-200789031,1536
-1786879292,-325101593,-1758642535,173037451,772568470,-2073670117,-74931272,528997462,-1871495531,1537
-1508918986,179304329,285488854,-1853941845,381343570,-903581129,1310980860,2013514851,451530830,1538
622660193,-29004315,1274765048,-1804002130,2044836153,712243782,-1705191310,-150389798,-157960695,1539
-752902243,1458740023,-1884800211,-1069235493,866458316,-557278312,-243632031,-1978773714,-1735095912,1540
916866332,-434260771,1422659363,-1763854992,584864122,1474697905,-1809691544,2143842779,1280104082,1541
-624896913,-25557626,1607239839,1425063095,-1809560474,-390702225,582203337,749696172,-51705890,1542
1604311668,-1162445647,-1731875018,62751142,1140714076,1845550542,1522183189,-1123836409,-1416242637,1543
-151875836,1945944438,-308986091,-1149729606,-580246884,1406946967,-555716042,-1509321939,-517647982,1544
-590158915,-1731721788,1548211821,1947978566,-1223160076,1721194179,1410098992,936660000,-176207474,1545
1723085329,-992813225,211579144,-444570090,-944549502,1972248571,-1898075438,374283306,687189247,1546
-278230620,-1181637690,602899289,216929584,-644465668,1365837834,880173389,1544522335,-308384354,1547
1171402757,804393590,-660590308,-96351558,-698403599,-617729535,1959245754,-1392870080,-1800534139,1548
236285749,1961940858,1084184910,-1965298144,-517051796,261638906,-716969701,173024065,-1481313572,1549
-933548429,-1930910468,-889280404,987644060,-1534910169,1984161780,-1559683997,1366707869,839277755,1550
1073515867,-307793908,30943833,-226088007,1659472050,-1032292565,1945564883,1350480443,1062163304,1551
830640900,-794668823,1471727672,-968546503,-1497942985,-719375289,-769962795,-1524995643,-627945800,1552
740421684,1759650966,-1234483064,1986120120,-223341335,-16309870,-769663415,977123491,-1863817173,1553
2077092747,1358226091,-504867095,-1704670990,-609515528,302707783,1082745855,-59659179,-956953917,1554
