O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT,nonce
502066665,-336042467,802513343,1964110846,-2052272271,43407092,1301376270,420130845,-345995717,1
-121511035,1811793808,-1424113457,828239360,1451367432,-1691184453,1115967013,-1501733072,1427569886,2
-617727429,-1406555286,-2114237790,-819227582,504210951,1157597416,-211553794,1730771226,841381792,3
824914147,1758345499,1529719287,-1137076771,-1185846726,-1270922209,-1829843006,1885644648,492780356,4
-1680214853,1611001266,55557118,1213424784,-745219119,-1239346235,1672829983,601620947,-825131066,5
-188480565,-649630602,1535617644,553416997,-1032793396,1870191487,445982161,2086131759,-1869930278,6
-1643552068,-1581762857,-1743784258,-797350245,1091447048,21225495,-1173914334,-1698387976,-2127830324,7
-176350965,-1432025600,-655112266,538748376,1987398381,1830808146,65800460,705413735,758865543,8
-379826771,-1314408024,-386430810,-1265533910,703931097,-2138221028,-2083267928,1780207032,-343838556,9
672098743,-191348576,-1619864881,1923878756,-827748848,1344246695,-1427341113,-1961078840,-985710282,10
871573897,1885359552,-1362128786,-1091176503,-495625354,-773597149,-128239148,-245292012,1201014375,11
-2119308869,696054681,-1863531351,-181426648,-1286526772,-138441449,918810936,1237014097,-254172174,12
1274804960,-1254251251,-452164273,-1143540537,644639132,-1369537857,1587220357,1908737656,-868861564,13
-701242750,1306850530,-1677833728,1217737610,-485742885,879642148,-1303112143,1532793283,28084901,14
1421627215,1570534143,848389692,-1829583630,-214481078,-1223930191,1075039449,1088906798,1596406460,15
-695817978,1724289329,-1809902804,-2101066653,-1044045027,1738208066,540637963,-328302366,-86648388,16
-252997520,-1150269043,-430944595,-1354578301,273261565,-1265113343,-1987688954,834418475,1141195299,17
856034465,821992499,-1156839965,-1787051577,326390291,-1388236847,2105470142,1735299428,2121466464,18
