U5_USERKEY,U5_INDEG,U5_OUTDEG,U5_ACTIVITY,U5_JOINDATE,U5_REGTIME
4,949,39,988,54876,54876
28,14,14,28,117724,117724
36,98,12,110,237223,237223
41,2,0,2,237042,237042
46,116,0,116,250909,250909
49,71,25,96,230407,230407
52,252,19,271,243809,243809
71,1051,23,1074,133785,133785
88,7686,55,7741,133921,133921
104,39,11,50,193464,193464
107,6,3,9,71305,71305
128,44,45,89,228203,228203
130,2,1,3,218506,218506
131,36,42,78,155853,155853
135,9,1,10,232736,232736
148,62,3,65,250726,250726
156,9,0,9,252133,252133
165,3,6,9,163540,163540
167,10,0,10,55027,55027
168,35,0,35,213004,213004
205,2601,3,2604,236681,236681
228,37,3,40,152104,152104
232,11,13,24,125547,125547
233,9,3,12,152137,152137
308,1386,10,1396,141327,141327
313,3,4,7,90334,90334
319,17,14,31,143955,143955
322,1269,10,1279,256339,256339
328,8,9,17,140386,140386
340,9,33,42,257050,257050
342,3,6,9,256353,256353
359,70,16,86,214600,214600
368,36,12,48,94847,94847
369,548,40,588,227828,227828
370,1513,34,1547,242847,242847
371,8,17,25,252412,252412
378,269,42,311,241909,241909
389,136,27,163,172725,172725
395,68,138,206,229841,229841
400,320,25,345,241460,241460
402,181,13,194,243908,243908
411,65,10,75,133717,133717
422,194,54,248,206687,206687
423,112,12,124,200362,200362
431,503,20,523,237401,237401
438,45,54,99,139813,139813
439,345,85,430,36881,36881
441,19,22,41,251178,251178
452,51,29,80,215547,215547
456,574,49,623,252044,252044
457,9,15,24,55133,55133
461,364,25,389,161576,161576
462,319,39,358,215515,215515
468,601,157,758,155286,155286
469,239,17,256,207236,207236
473,282,131,413,225650,225650
478,37,36,73,168911,168911
479,52,8,60,217333,217333
492,654,154,808,135223,135223
502,563,201,764,137272,137272
505,139,25,164,159577,159577
506,121,56,177,218858,218858
510,206,7,213,55118,55118
511,958,131,1089,137458,137458
531,401,16,417,73123,73123
540,139,30,169,167542,167542
541,61,30,91,56125,56125
544,10,19,29,216443,216443
550,332,16,348,150323,150323
553,259,101,360,118867,118867
556,214,41,255,199460,199460
559,23,24,47,167723,167723
580,104,62,166,149205,149205
587,1,13,14,258158,258158
589,14,29,43,222426,222426
591,20,34,54,253583,253583
608,95,65,160,241586,241586
621,26,12,38,77424,77424
637,5,4,9,151090,151090
640,211,14,225,250754,250754
643,39,12,51,240333,240333
657,7,9,16,149699,149699
666,18,7,25,229058,229058
670,38,18,56,224948,224948
677,4949,19,4968,195278,195278
697,18,5,23,149742,149742
698,40,22,62,256152,256152
718,137,72,209,195129,195129
722,2,4,6,63928,63928
723,8,11,19,128199,128199
738,12,28,40,221120,221120
761,30,1,31,205743,205743
762,728,2,730,221559,221559
769,4,4,8,164031,164031
783,19,6,25,79015,79015
786,7,13,20,44586,44586
829,1,4,5,181724,181724
832,1281,33,1314,144063,144063
844,28,7,35,133793,133793
873,1,9,10,258077,258077
874,15,29,44,248577,248577
885,383,24,407,137306,137306
894,167,35,202,248603,248603
898,12,15,27,222982,222982
903,6,3,9,220083,220083
906,40,9,49,220525,220525
910,0,2,2,172962,172962
912,4,1,5,137738,137738
931,10,21,31,133612,133612
939,28,20,48,225950,225950
948,4,3,7,129071,129071
949,6,6,12,244249,244249
994,163,25,188,256998,256998
997,5,28,33,214798,214798
1003,90,7,97,232775,232775
1027,18,4,22,242776,242776
1028,71,9,80,206158,206158
1043,45,37,82,132116,132116
1051,23,20,43,187490,187490
1054,1,3,4,39208,39208
1056,23,43,66,253780,253780
1077,4,17,21,235454,235454
1103,38,22,60,221040,221040
1111,0,2,2,188223,188223
1113,38,2,40,233585,233585
1115,32,54,86,233170,233170
1118,23,21,44,77230,77230
1126,0,1,1,59698,59698
1134,20,4,24,165270,165270
1140,1,20,21,232719,232719
1142,43,18,61,131384,131384
1147,6,11,17,74471,74471
1152,28,42,70,163401,163401
1160,17,24,41,73860,73860
1170,51,56,107,139452,139452
1185,4,2,6,133120,133120
1189,3,3,6,214292,214292
1190,43,14,57,226432,226432
1203,3,8,11,247356,247356
1215,0,5,5,144069,144069
1230,43,4,47,253015,253015
1238,9,17,26,239246,239246
1240,50,36,86,194469,194469
1255,21,11,32,140968,140968
1256,69,3,72,196234,196234
1262,94,9,103,85445,85445
1267,1813,38,1851,227743,227743
1272,19,7,26,142285,142285
1276,3203,49,3252,143859,143859
1281,13,1,14,227989,227989
1309,66,12,78,148572,148572
1357,360,15,375,163813,163813
1358,3,5,8,65109,65109
1359,3,2,5,65062,65062
1379,8,7,15,65132,65132
1385,8,11,19,104005,104005
1386,4,2,6,64490,64490
1400,21,8,29,57999,57999
1405,65,1,66,236949,236949
1411,2,1,3,237205,237205
1432,13,3,16,216002,216002
1433,11,15,26,190264,190264
1447,28,9,37,220794,220794
1454,37,7,44,225835,225835
1455,48,73,121,168276,168276
1461,19,30,49,173279,173279
1471,28,45,73,127299,127299
1475,1,10,11,206003,206003
1484,18,27,45,244845,244845
1486,20,20,40,232012,232012
1487,31,4,35,110479,110479
1492,10,20,30,230139,230139
1510,26,23,49,245770,245770
1526,14,4,18,145364,145364
1528,2,6,8,198281,198281
1551,44,10,54,65117,65117
1572,68,45,113,228653,228653
1579,12,16,28,159335,159335
1593,0,0,0,157811,157811
1597,36,11,47,228070,228070
1609,16,13,29,118577,118577
1632,4,5,9,210322,210322
1633,11,15,26,160972,160972
1654,32,7,39,94035,94035
1665,25,28,53,149994,149994
1694,4,5,9,85685,85685
1711,20,3,23,85984,85984
1723,9,3,12,197080,197080
1725,1,1,2,129230,129230
1739,4,9,13,158080,158080
1748,3,5,8,249098,249098
1751,13,6,19,228195,228195
1760,0,5,5,210187,210187
1762,104,9,113,221517,221517
1774,67,6,73,147638,147638
1805,113,28,141,70242,70242
1825,0,2,2,55482,55482
1830,4,3,7,235748,235748
1853,19,4,23,222685,222685
1878,61,3,64,208020,208020
1892,4,2,6,157048,157048
1898,1,8,9,138143,138143
1902,42,9,51,154749,154749
1912,60,39,99,43348,43348
1916,0,1,1,233231,233231
1917,12,3,15,134179,134179
1920,30,13,43,249747,249747
1944,3,9,12,180652,180652
1945,339,8,347,162677,162677
1958,8,7,15,138291,138291
1999,217,24,241,133056,133056
2011,54,15,69,166026,166026
2018,1,1,2,232141,232141
2033,5,14,19,252091,252091
2034,2,4,6,138901,138901
2080,222,14,236,190797,190797
2098,2,7,9,173668,173668
2123,4,0,4,235805,235805
2143,192,54,246,233420,233420
2148,28,19,47,248201,248201
2149,21,17,38,34125,34125
2153,842,9,851,213866,213866
2169,64,3,67,236199,236199
2171,7,2,9,135531,135531
2173,91,19,110,84067,84067
2175,158,27,185,142710,142710
2177,925,18,943,160644,160644
2180,81,4,85,138218,138218
2182,85,8,93,237898,237898
2183,6,26,32,216603,216603
2203,3,9,12,144145,144145
2205,7,1,8,212407,212407
2222,36,12,48,199036,199036
2230,78,40,118,148671,148671
2247,71,10,81,196196,196196
2256,9,11,20,233218,233218
2294,3,9,12,167606,167606
2298,25,18,43,62237,62237
2301,6,7,13,142806,142806
2303,5,9,14,34371,34371
2307,2,14,16,240958,240958
2308,96,12,108,237818,237818
2325,18,27,45,79929,79929
2330,9,19,28,132282,132282
2333,15,13,28,170088,170088
2338,14,13,27,230908,230908
2351,70,4,74,133322,133322
2369,125,63,188,128815,128815
2373,63,45,108,199887,199887
2374,28,39,67,56863,56863
2377,45,19,64,209045,209045
2387,46,24,70,218210,218210
2417,2551,44,2595,165630,165630
2422,17,3,20,213218,213218
2426,17,42,59,81863,81863
2430,6,13,19,159339,159339
2440,3,5,8,134029,134029
2444,32,16,48,254483,254483
